p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.23887120100957e-219	0.86797196312968	0.944	0.426	4.38975476381947e-215	CD8 T cell	BCL11B
4.5646388919561e-213	0.788304450117013	0.92	0.589	8.94988747545833e-209	CD8 T cell	TOX
6.49022605391815e-192	0.829037622690382	0.791	0.238	1.27253862239173e-187	CD8 T cell	CD8A
7.56832513977198e-159	-0.741588694875232	0.439	0.866	1.48392151015509e-154	CD8 T cell	MAML3
5.39250141067335e-142	0.666548063031843	0.857	0.405	1.05730775159072e-137	CD8 T cell	JAKMIP1
1.6288753956998e-140	0.645674492183663	0.724	0.211	3.1937359883486e-136	CD8 T cell	TIGIT
2.64961721953192e-135	0.565070427297921	0.934	0.658	5.19510448233624e-131	CD8 T cell	RUNX3
1.35990808269126e-131	-0.754413442328778	0.29	0.751	2.66637177773275e-127	CD8 T cell	TNS1
1.53055034305224e-131	-0.755824666533581	0.174	0.685	3.00095005762252e-127	CD8 T cell	RAB31
6.24568493687074e-131	0.644034493148543	0.843	0.402	1.22459144557225e-126	CD8 T cell	IKZF3
7.73632772926358e-131	0.563524886638326	0.89	0.59	1.51686177787671e-126	CD8 T cell	BICDL1
4.37798850451826e-130	-0.690214368743462	0.131	0.634	8.58392206080896e-126	CD8 T cell	RIN2
7.28924879132206e-129	-0.73863473576691	0.367	0.767	1.42920301051452e-124	CD8 T cell	FMNL2
1.45465364804526e-126	0.603024817727118	0.627	0.159	2.85213940772233e-122	CD8 T cell	CD8B
2.89210384382622e-124	-0.680993436976765	0.29	0.748	5.67054800659007e-120	CD8 T cell	ZFHX3
7.24708112274619e-121	-0.621713490605604	0.118	0.59	1.42093519573684e-116	CD8 T cell	CHST15
6.5832260000191e-119	0.538800195921712	0.884	0.594	1.29077312182375e-114	CD8 T cell	ST8SIA1
5.31751145305085e-118	0.632005973637299	0.76	0.313	1.04260447059968e-113	CD8 T cell	THEMIS
1.5498838834429e-116	-0.655082328637963	0.378	0.783	3.0388573302665e-112	CD8 T cell	TCF4
4.70776948696041e-115	0.600503040993161	0.677	0.228	9.23052363308328e-111	CD8 T cell	SH2D1A
1.15139091094187e-114	0.548102575180655	0.9	0.575	2.25753215908373e-110	CD8 T cell	PPP1R16B
3.83971999095622e-114	0.569802211704803	0.843	0.537	7.52853898626786e-110	CD8 T cell	FYCO1
1.15731354748026e-113	-0.673510527378703	0.347	0.758	2.26914467254455e-109	CD8 T cell	LHFPL2
1.79402316202593e-113	-0.612329080766784	0.2	0.656	3.51754121378424e-109	CD8 T cell	TIMP2
2.49549028454477e-113	-0.650334197940726	0.313	0.736	4.89290780090694e-109	CD8 T cell	GSN
2.8060248556337e-112	0.550478011722814	0.725	0.293	5.501772934441e-108	CD8 T cell	UBASH3A
1.19402392253925e-111	0.550966370791154	0.842	0.533	2.34112270492271e-107	CD8 T cell	GALM
1.25620747606203e-110	-0.717033113731343	0.226	0.686	2.46304599831482e-106	CD8 T cell	COL4A2
1.93199719671049e-110	0.536031077019694	0.848	0.51	3.78806690359026e-106	CD8 T cell	RHOH
4.26141247248287e-110	0.516297290363798	0.89	0.682	8.35535143479716e-106	CD8 T cell	LYST
4.73206783811339e-110	-0.535000384418927	0.054	0.443	9.27816541018892e-106	CD8 T cell	FPR1
1.32636607384594e-108	0.376383843204887	0.954	0.836	2.60060596098973e-104	CD8 T cell	NFATC2
1.43331432896301e-107	0.53752236017144	0.83	0.456	2.81029940479776e-103	CD8 T cell	ZNF831
6.18085402842902e-105	-0.685585549123501	0.197	0.632	1.21188004935408e-100	CD8 T cell	DAPK1
1.14133786282853e-104	-0.615925531481737	0.157	0.62	2.2378211476479e-100	CD8 T cell	NRP2
5.73276500351791e-104	0.550161330506881	0.778	0.441	1.12402323423976e-99	CD8 T cell	TNIP3
1.77630916280191e-103	-0.529928856592005	0.091	0.54	3.48280937550571e-99	CD8 T cell	CMKLR1
1.92244975308173e-103	-0.5603231426154	0.107	0.544	3.76934723086735e-99	CD8 T cell	RAB20
1.37029904222817e-101	-0.54883436225588	0.601	0.857	2.68674533209677e-97	CD8 T cell	ETV6
4.81605392129519e-100	0.479972696309796	0.58	0.177	9.44283692348348e-96	CD8 T cell	CD2
8.50308574126965e-99	0.54002160207683	0.741	0.353	1.66720002129074e-94	CD8 T cell	RASGRP1
3.18852470328532e-98	-0.595074329703618	0.267	0.701	6.25174038573153e-94	CD8 T cell	CTBP2
5.2023514286277e-98	0.515690601620633	0.927	0.649	1.02002504461103e-93	CD8 T cell	IKZF1
9.00159597887407e-97	-0.402717932493429	0.04	0.406	1.76494292357784e-92	CD8 T cell	MAFB
9.45802826525405e-96	0.535603601310537	0.832	0.473	1.85443560196836e-91	CD8 T cell	SLC38A1
1.15759686593054e-95	0.524744996341715	0.851	0.524	2.26970017503002e-91	CD8 T cell	PRKCQ
7.7477978007235e-95	-0.572312869652218	0.219	0.643	1.51911071478786e-90	CD8 T cell	ABCA1
8.3139955386911e-95	-0.630714644935378	0.224	0.676	1.63012510527116e-90	CD8 T cell	MEF2C
