p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
3.37072827774547e-64	0.369731634622229	0.663	0.459	6.60898693417553e-60	ccRCC balanced	SLC6A13
1.83063047108368e-59	0.321681955509151	0.6	0.478	3.58931716465376e-55	ccRCC balanced	ANPEP
3.96697385178678e-54	0.291190546383444	0.738	0.675	7.77804563119835e-50	ccRCC balanced	IQSEC3
4.38856909440173e-49	0.238979897450299	0.69	0.743	8.60466742339346e-45	ccRCC balanced	DERA
1.73549169373839e-48	0.205593335000699	0.826	0.896	3.40277856391286e-44	ccRCC balanced	KRT8
1.94363133919461e-47	0.351431468950295	0.713	0.595	3.81087796675887e-43	ccRCC balanced	SLC16A12
4.4844312054463e-45	0.271993565797083	0.655	0.563	8.79262426451857e-41	ccRCC balanced	HNF4A
5.74853418714969e-39	0.230266996956444	0.412	0.302	1.12711509807444e-34	ccRCC balanced	CLRN3
6.09594817151794e-39	0.252158020139683	0.589	0.551	1.19523255798952e-34	ccRCC balanced	ERBB3
3.78621297293833e-38	0.257363174246784	0.699	0.675	7.42362777604018e-34	ccRCC balanced	C1orf186
4.84246266291857e-38	0.23498673356524	0.622	0.534	9.49461654318444e-34	ccRCC balanced	GPR137B
1.13050874913319e-36	0.192533970470109	0.516	0.544	2.21658850442545e-32	ccRCC balanced	HHLA2
3.3855353802018e-36	0.151800637279023	0.494	0.497	6.63801921996167e-32	ccRCC balanced	GDA
2.84471725306888e-35	0.235829301768618	0.474	0.408	5.57763711809216e-31	ccRCC balanced	CXCL14
3.57283552573051e-35	0.23042214221367	0.466	0.425	7.0052586152998e-31	ccRCC balanced	AOC1
6.67392498505728e-35	0.196080426468057	0.42	0.367	1.30855647182018e-30	ccRCC balanced	SPINT1
1.02256369265404e-33	0.138184591597693	0.696	0.778	2.00494063218677e-29	ccRCC balanced	KCNK5
2.43451683851248e-32	0.248166258346706	0.666	0.634	4.77335716527141e-28	ccRCC balanced	HAVCR1
2.49282183358815e-32	0.27458998306745	0.618	0.642	4.88767576911628e-28	ccRCC balanced	RP3-454G6.2
4.88861326545706e-32	0.178696266254851	0.598	0.598	9.58510402958165e-28	ccRCC balanced	SLC1A1
1.09983528917552e-31	0.174683426858899	0.721	0.775	2.15644705148643e-27	ccRCC balanced	TTBK1
1.41462432013921e-31	0.132123492888872	0.488	0.45	2.77365390449694e-27	ccRCC balanced	TMEM200A
2.16788891388125e-31	0.216685583773705	0.596	0.539	4.25057979344696e-27	ccRCC balanced	C1orf106
2.35143510389482e-31	0.244451912337024	0.531	0.541	4.61045880820658e-27	ccRCC balanced	CORO2A
2.88012425727822e-31	0.181770013351338	0.629	0.616	5.6470596312454e-27	ccRCC balanced	MAN1A1
9.22961262644411e-31	0.193892193500338	0.285	0.211	1.8096501476669e-26	ccRCC balanced	SLC5A12
9.88523846953492e-31	0.158835508337554	0.492	0.496	1.93819870672171e-26	ccRCC balanced	TMCC3
1.32013386235157e-30	0.158034778059827	0.773	0.861	2.58838646391272e-26	ccRCC balanced	C12orf75
1.42806030388709e-30	0.14739734406122	0.84	0.877	2.79999783783142e-26	ccRCC balanced	SEMA6A
1.04627512012633e-29	0.139991130336519	0.797	0.855	2.0514316280317e-25	ccRCC balanced	EPB41L1
1.19091075726012e-29	0.168130365401883	0.51	0.519	2.33501872175992e-25	ccRCC balanced	NOX4
4.99469456592914e-29	0.216707731348615	0.783	0.839	9.79309763541727e-25	ccRCC balanced	STK32B
1.42054008636789e-28	0.129442079411897	0.654	0.737	2.78525294734153e-24	ccRCC balanced	GAL3ST1
1.89279009671056e-28	0.167460347814753	0.753	0.795	3.71119354262039e-24	ccRCC balanced	SLC47A1
1.90866483136471e-28	0.138626115236606	0.494	0.529	3.74231913485678e-24	ccRCC balanced	GLDC
4.15793002997708e-28	0.18308021811732	0.568	0.646	8.15245340977605e-24	ccRCC balanced	SH2D3A
4.40398038663719e-28	0.241283244694212	0.39	0.288	8.63488434407954e-24	ccRCC balanced	CYP2J2
5.57827348311466e-28	0.111810963614288	0.405	0.462	1.09373208183429e-23	ccRCC balanced	TMEM176A
7.5329451180238e-28	0.226819763418767	0.585	0.584	1.47698454929093e-23	ccRCC balanced	PANK1
8.98114424442772e-28	0.220352785413561	0.496	0.54	1.76093295200494e-23	ccRCC balanced	CDYL2
1.93083459884253e-27	0.23340163470358	0.452	0.409	3.78578739795054e-23	ccRCC balanced	CCR6
3.4204072968e-27	0.188755529291882	0.891	0.89	6.70639258683575e-23	ccRCC balanced	GALNT14
3.73573488390614e-27	0.156330528523955	0.781	0.878	7.32465538687476e-23	ccRCC balanced	FBRSL1
3.86646623437311e-27	0.15599444844748	0.749	0.869	7.58098034573536e-23	ccRCC balanced	PPTC7
4.67975966014358e-27	0.132511662902064	0.517	0.492	9.17560476564351e-23	ccRCC balanced	C6orf132
5.43001567107439e-27	0.116952787746207	0.429	0.489	1.06466317262756e-22	ccRCC balanced	TMEM176B
6.79841353013032e-27	0.153485025217189	0.715	0.828	1.33296494085265e-22	ccRCC balanced	GRAMD3
9.25464820652855e-27	0.151698830377617	0.635	0.66	1.81455887385405e-22	ccRCC balanced	EPB41L3
1.12884317258406e-26	0.157272803126186	0.431	0.45	2.21332280848556e-22	ccRCC balanced	TMEM171
1.59181033241865e-26	0.164085496458178	0.464	0.5	3.12106251877324e-22	ccRCC balanced	PPP1R16B
1.69244953658293e-26	0.164045042286379	0.663	0.698	3.31838580637814e-22	ccRCC balanced	SDC2
1.98793499325176e-26	0.129697119522287	0.402	0.377	3.89774414126872e-22	ccRCC balanced	SLC27A2
2.13442147499876e-26	0.133837504637865	0.444	0.446	4.18496018603008e-22	ccRCC balanced	SLC17A3
2.66058934793751e-26	0.166920352603899	0.602	0.673	5.21661753450107e-22	ccRCC balanced	DDC
3.11080315141196e-26	0.212497592754329	0.519	0.484	6.09935173897342e-22	ccRCC balanced	FRMPD2
7.16083626481295e-26	0.218718964548932	0.509	0.484	1.40402516644187e-21	ccRCC balanced	ZC3H12D
1.08104200477053e-25	0.186352454325669	0.667	0.719	2.11959905875358e-21	ccRCC balanced	SOX13
1.42514858154544e-25	0.19507341769126	0.81	0.879	2.79428882383615e-21	ccRCC balanced	PLXNA2
1.5265895946608e-25	0.150024369128174	0.608	0.683	2.99318421825142e-21	ccRCC balanced	DOK4
1.70701436261249e-25	0.164798159212846	0.559	0.589	3.34694306077432e-21	ccRCC balanced	SLCO4C1
1.80074424762371e-25	0.106006234448345	0.559	0.604	3.53071924631581e-21	ccRCC balanced	C16orf96
3.84657939849121e-25	0.167541542492828	0.539	0.619	7.54198822662172e-21	ccRCC balanced	DHTKD1
7.57552472002824e-25	0.125202880012781	0.854	0.929	1.48533313185594e-20	ccRCC balanced	SLCO3A1
7.64390605062075e-25	0.180405863774939	0.586	0.623	1.49874065934521e-20	ccRCC balanced	TNFRSF21
2.45859437681692e-24	0.15229596808157	0.522	0.589	4.82056599462494e-20	ccRCC balanced	PTER
3.61297342030405e-24	0.136595334754704	0.356	0.335	7.08395698519015e-20	ccRCC balanced	UGT2A3
4.3942383859914e-24	0.13927130807633	0.523	0.636	8.61578320341334e-20	ccRCC balanced	ADRA1B
6.33723205937563e-24	0.14698029694643	0.569	0.563	1.24254108988178e-19	ccRCC balanced	PLLP
7.24937730440394e-24	0.164258231672214	0.611	0.697	1.42138540807448e-19	ccRCC balanced	SCAMP2
8.56612819395465e-24	0.122808650937807	0.59	0.656	1.67956075498869e-19	ccRCC balanced	PIK3AP1
9.06232656129172e-24	0.148810660183448	0.575	0.671	1.77685036887247e-19	ccRCC balanced	RBP5
9.65614935204357e-24	0.154044797857635	0.5	0.577	1.89328120345518e-19	ccRCC balanced	SYT9
1.160485790385e-23	0.158361046080882	0.635	0.703	2.27536448920786e-19	ccRCC balanced	LRRC1
2.03133866073732e-23	0.170214814991691	0.429	0.446	3.98284571210765e-19	ccRCC balanced	AGT
2.94226151291923e-23	0.26127658955408	0.588	0.644	5.76889214838074e-19	ccRCC balanced	PDK4
3.22336746174537e-23	0.236983407469215	0.48	0.422	6.32005658224415e-19	ccRCC balanced	SERPINF2
3.83457756767571e-23	0.195557580675368	0.481	0.477	7.51845623694177e-19	ccRCC balanced	STARD8
4.10025923316564e-23	0.177802169832312	0.498	0.544	8.03937827846786e-19	ccRCC balanced	LHX4
6.09212142796911e-23	0.169108638724099	0.516	0.608	1.1944822483819e-18	ccRCC balanced	ASB13
6.61553190951497e-23	0.129390333058752	0.645	0.802	1.2971073414986e-18	ccRCC balanced	MVK
7.89025176141131e-23	0.182894427346428	0.77	0.881	1.54704166285991e-18	ccRCC balanced	CYFIP2
1.00857371981584e-22	0.111440893091144	0.29	0.315	1.97751049244292e-18	ccRCC balanced	LYPD8
1.42369770627153e-22	0.193558771021093	0.566	0.623	2.79144409268659e-18	ccRCC balanced	GFRA1
1.66100851718625e-22	0.198197543582174	0.433	0.443	3.25673939964708e-18	ccRCC balanced	C10orf99
2.71486247392987e-22	0.172484341430266	0.818	0.899	5.3230308526343e-18	ccRCC balanced	CIT
4.17057504722377e-22	0.129302997036219	0.706	0.846	8.17724649509164e-18	ccRCC balanced	TAOK3
4.30677973925234e-22	0.10549085233707	0.569	0.643	8.44430303475206e-18	ccRCC balanced	GRB7
4.71793401937639e-22	0.117759499054317	0.849	0.933	9.25045323179128e-18	ccRCC balanced	TPCN1
5.65127170219447e-22	0.116144359881676	0.465	0.52	1.10804484264927e-17	ccRCC balanced	SAMD3
9.46510508300563e-22	0.160792407810884	0.521	0.612	1.85582315362491e-17	ccRCC balanced	SLC34A1
1.22463209642693e-21	0.159469596260779	0.6	0.654	2.40113615146428e-17	ccRCC balanced	ACSS3
