p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	group
0	-3.74956803214774	0.018	0.144	0	chr1-629737-630602	BAP1 WT
0	-3.80566082979713	0.063	0.359	0	chr1-633720-634509	BAP1 WT
0	3.68837445050991	0.221	0.016	0	chr1-5296725-5298329	BAP1 pLOF
0	2.6330206077717	0.217	0.031	0	chr1-167697175-167698570	BAP1 pLOF
0	1.59879945457367	0.441	0.13	0	chr1-221839164-221842001	BAP1 pLOF
0	2.42065495048569	0.314	0.048	0	chr1-230400509-230402368	BAP1 pLOF
0	-2.54335800130752	0.04	0.158	0	chr7-12111140-12112313	BAP1 WT
0	-1.52756433735487	0.125	0.25	0	chr7-90210898-90212455	BAP1 WT
0	-2.47875246357003	0.07	0.295	0	chr7-93574158-93576451	BAP1 WT
0	1.71946453499474	0.37	0.104	0	chr8-10690586-10692580	BAP1 pLOF
0	1.86772242584009	0.328	0.078	0	chr8-24954888-24957014	BAP1 pLOF
0	2.06721663537951	0.307	0.065	0	chr11-35274818-35276756	BAP1 pLOF
0	-2.57265451816776	0.074	0.334	0	chr12-72271330-72274246	BAP1 WT
0	3.32786364561349	0.224	0.02	0	chr13-99382421-99384078	BAP1 pLOF
0	-2.88122466691021	0.052	0.263	0	chr13-102399532-102402629	BAP1 WT
0	-1.41701220210459	0.16	0.323	0	chr14-26596494-26599407	BAP1 WT
0	-3.87899912811967	0.011	0.124	0	chr16-66955415-66956010	BAP1 WT
0	2.63396537307832	0.226	0.033	0	chr16-83744090-83745217	BAP1 pLOF
0	-3.80585307394022	0.044	0.281	0	chr17-22521254-22521560	BAP1 WT
0	-1.66856413502782	0.13	0.307	0	chr19-6475344-6477293	BAP1 WT
0	-4.77487618983971	0.006	0.126	0	chr19-22531780-22533328	BAP1 WT
0	3.34087549839574	0.154	0.013	0	chr22-47129861-47130472	BAP1 pLOF
0	3.97133753487928	0.126	0.007	0	chr22-48798594-48799629	BAP1 pLOF
0	3.41399223826417	0.167	0.015	0	chrX-2628467-2631190	BAP1 pLOF
0	3.23265444562145	0.182	0.014	0	chrX-73850457-73851878	BAP1 pLOF
2.70551244197207e-303	-2.58226027718288	0.028	0.141	1.26788159016893e-297	chr19-12035005-12036392	BAP1 WT
2.09340325782039e-302	3.80603095131945	0.128	0.008	9.8102947530911e-297	chr2-197965827-197967208	BAP1 pLOF
3.07200947620459e-299	2.54844735037192	0.189	0.028	1.43963272882428e-293	chr16-50591260-50592766	BAP1 pLOF
6.2424929738991e-294	3.56554787537956	0.129	0.01	2.92541323986536e-288	chr8-21686866-21687341	BAP1 pLOF
1.97783366482838e-290	-0.81473037300658	0.423	0.534	9.26870212514861e-285	chr7-94655002-94658678	BAP1 WT
9.85089980282293e-290	1.91714684617495	0.289	0.063	4.61641732369711e-284	chr4-8100822-8101711	BAP1 pLOF
5.19750146795852e-283	1.79305991396112	0.314	0.08	2.43569991542794e-277	chr3-197494311-197496901	BAP1 pLOF
7.7176298091763e-282	-2.161772502807	0.047	0.159	3.61670513984448e-276	chr16-89246814-89248007	BAP1 WT
