p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	peak
5.20086982757903e-20	1.17847903890704	0.244	0.108	2.43727842642853e-14	C1	chr7-43904498-43905648
1.1930648620093e-19	1.37190631567228	0.146	0.054	5.59104793218557e-14	C1	chr12-49987497-49988662
4.6882833648417e-18	1.48445232833508	0.21	0.073	2.1970655449824e-12	C1	chr20-44415497-44416486
6.40722642836104e-17	1.87505623832003	0.228	0.062	3.00261211389641e-11	C1	chr5-132277941-132278509
1.58853496994228e-16	1.31744684463828	0.191	0.075	7.44433554429082e-11	C1	chr9-93061747-93062402
1.64053926277259e-16	1.91776940196115	0.127	0.033	7.68804274173858e-11	C1	chr19-33437785-33438794
2.1228058571933e-16	1.65081548852791	0.164	0.051	9.94808386050639e-11	C1	chr17-43216506-43217591
3.92490332764655e-16	1.69273157242485	0.18	0.054	1.83932352153167e-10	C1	chr11-64580431-64581439
9.05465977641143e-16	1.36816320879106	0.205	0.079	4.24327615635991e-10	C1	chr17-28991477-28994167
2.31564285374813e-15	1.39106865407895	0.155	0.058	1.08517739490913e-09	C1	chr22-41499602-41500194
5.16313285040503e-15	1.23003301589316	0.168	0.07	2.41959378455246e-09	C1	chr19-40280238-40280983
1.26452735727848e-14	1.63934861308063	0.171	0.053	5.92594190914057e-09	C1	chr5-1222702-1223539
1.92793277760151e-14	1.63072622888795	0.133	0.042	9.03485209634617e-09	C1	chr5-133801333-133802726
1.94649955352005e-14	1.07517830494372	0.287	0.132	9.12186139266547e-09	C1	chr11-2758973-2762026
1.96358091185035e-14	1.36786813512055	0.192	0.074	9.20190959139517e-09	C1	chr7-50676647-50677473
3.16461435921348e-14	1.54252814527237	0.153	0.051	1.48303006254385e-08	C1	chr13-100523394-100524429
3.21439579580516e-14	1.32210412776547	0.146	0.057	1.50635908739238e-08	C1	chr2-117916913-117918012
4.29382215847073e-14	1.41337887771819	0.195	0.072	2.01220958430198e-08	C1	chr7-99975321-99976577
5.78323840746719e-14	1.68855031277782	0.119	0.036	2.71019323165294e-08	C1	chr10-119665896-119666375
5.90838895861196e-14	1.20379649327632	0.14	0.059	2.76884240928536e-08	C1	chr3-61221043-61222707
6.75896193979897e-14	1.32514109858505	0.164	0.064	3.16744557488605e-08	C1	chr16-4209483-4210073
9.17837653387771e-14	1.34874244398149	0.162	0.062	4.30125341669458e-08	C1	chr6-31377177-31379027
9.402579260362e-14	1.79802489556996	0.103	0.029	4.40632131620419e-08	C1	chr9-34342909-34343970
1.09318372168211e-13	0.947795678475845	0.201	0.103	5.12297594308167e-08	C1	chr11-62479644-62481244
1.15180140169305e-13	1.31958772923037	0.199	0.077	5.39767539074015e-08	C1	chr1-43279053-43280046
1.24550579496148e-13	1.3087405760942	0.146	0.057	5.83680135187004e-08	C1	chr7-4151746-4152527
1.81108221261119e-13	0.86004407843015	0.336	0.179	8.48725646213769e-08	C1	chr7-131933681-131935404
1.96741019619824e-13	1.58128641709669	0.14	0.045	9.21985472834185e-08	C1	chr13-97583456-97584598
1.97855502824812e-13	1.61345964096783	0.181	0.058	9.27208264332886e-08	C1	chr8-139969819-139971560
2.307434182239e-13	0.900477643674982	0.28	0.145	1.08133057338848e-07	C1	chr7-134354985-134356408
2.49974868348722e-13	0.897844681454067	0.251	0.134	1.17145472579393e-07	C1	chr16-22352877-22354647
3.10314991808471e-13	1.90623763041292	0.133	0.036	1.45422604296212e-07	C1	chr17-7038999-7039320
4.61700254406905e-13	1.29245137438825	0.146	0.059	2.16366128522453e-07	C1	chr4-176306880-176309493
4.96984671463091e-13	1.24225664480524	0.177	0.073	2.32901429603077e-07	C1	chr5-73183120-73184073
5.82967950693983e-13	1.20711341505728	0.114	0.048	2.73195687765771e-07	C1	chr7-56028934-56029637
6.49490889457831e-13	1.27753630162024	0.111	0.045	3.04370266035734e-07	C1	chr22-17731912-17732722
7.5437967820718e-13	1.66543818108859	0.134	0.041	3.53524194218553e-07	C1	chr11-65357776-65358371
7.6045183908529e-13	1.23699640429856	0.145	0.06	3.563697848987e-07	C1	chr20-44393993-44395182
8.6879759538965e-13	1.53127349731531	0.122	0.042	4.07143748329856e-07	C1	chr19-19274408-19275458
9.29776992626693e-13	0.933718142215392	0.249	0.128	4.35720462277654e-07	C1	chr6-158751206-158752957
1.40205550564547e-12	1.51014000463398	0.221	0.078	6.5704386955513e-07	C1	chr7-30932374-30933021
1.52717541951244e-12	0.984856724378532	0.174	0.084	7.15678689670693e-07	C1	chr5-172077735-172079321
1.93114894075919e-12	1.8424010034139	0.124	0.034	9.0499239695904e-07	C1	chr2-118603883-118605464
2.32383602427729e-12	1.50682080262422	0.107	0.036	1.08901695222104e-06	C1	chr7-197576-197830
2.45185415331211e-12	0.656057482273243	0.367	0.226	1.1490099600125e-06	C1	chr10-86162765-86164797
2.7717227303699e-12	1.17967527346056	0.243	0.106	1.29890965141051e-06	C1	chr9-110281769-110284753
2.94975909072613e-12	1.55175141254561	0.186	0.063	1.3823426529279e-06	C1	chr6-168087724-168088938
3.01949386514088e-12	1.41838577645171	0.153	0.056	1.4150223905271e-06	C1	chr1-222794417-222795696
