motif	observed	background	percent.observed	percent.background	fold.enrichment	pvalue	motif.name	p.adjust
MA1141.1	1579	2478	39.3373193821624	24.78	1.58746244480074	8.56731325372249e-166	FOS::JUND	6.39121568727698e-163
MA0478.1	1548	2437	38.5650224215247	24.37	1.58247937716556	1.99383944498944e-159	FOSL2	7.43702112981061e-157
MA1128.1	1516	2377	37.767812655705	23.77	1.58888568177135	1.17960927134498e-157	FOSL1::JUN	2.93329505474452e-155
MA0099.3	1455	2257	36.2481315396114	22.57	1.60603152590214	5.14669574162941e-156	FOS::JUN	9.59858755813885e-154
MA1130.1	1443	2237	35.949177877429	22.37	1.60702627972414	9.77541709883934e-155	FOSL2::JUN	1.45849223114683e-152
MA0462.2	1613	2601	40.1843547583458	26.01	1.54495789151656	1.97460053822231e-152	BATF::JUN	2.45508666918973e-150
MA1622.1	1656	2701	41.2556053811659	27.01	1.52741967349744	2.04567083134109e-150	Smad2::Smad3	2.18010062882922e-148
MA1634.1	1597	2583	39.785749875436	25.83	1.54029229095765	1.8898284674051e-148	BATF	1.76226504585525e-146
MA0477.2	1448	2288	36.0737419033383	22.88	1.57664955871234	7.30140429612121e-144	FOSL1	6.05205289434047e-142
MA1144.1	1298	1984	32.3368211260588	19.84	1.62988009707958	4.55231493084929e-143	FOSL2::JUND	3.39602693841357e-141
MA1137.1	1355	2111	33.756851021425	21.11	1.59909289537778	5.49969018835949e-140	FOSL1::JUNB	3.72978989137834e-138
MA0489.1	1582	2589	39.412057797708	25.89	1.52228882957544	3.00538633707918e-139	JUN(var.2)	1.86834850621756e-137
MA1134.1	1300	2009	32.3866467364225	20.09	1.61207798588465	2.88549048909657e-137	FOS::JUNB	1.65582761912772e-135
MA0835.2	1557	2550	38.7892376681614	25.5	1.52114657522202	7.72023526781416e-136	BATF3	4.1137825069924e-134
MA1142.1	1346	2126	33.5326357747882	21.26	1.57726414745006	3.18423480118626e-131	FOSL1::JUND	1.58362610778997e-129
MA1135.1	1275	1985	31.7638266068759	19.85	1.60019277616503	4.5632340550374e-130	FOSB::JUNB	2.12760787816119e-128
MA0490.2	1250	1939	31.1410064773293	19.39	1.60603437221915	8.52450074875148e-129	JUNB	3.74075150504036e-127
MA0491.2	1230	1902	30.6427503736921	19.02	1.6110804612877	7.31472181003195e-128	JUND	3.03154581682435e-126
MA0476.1	1524	2521	37.9671150971599	25.21	1.50603391896707	3.22979438984348e-126	FOS	1.2681192709596e-124
MA1138.1	1253	1955	31.2157448928749	19.55	1.59671329375319	3.57388647616257e-126	FOSL2::JUNB	1.33305965560864e-124
MA0841.1	1149	1836	28.6248131539611	18.36	1.55908568376695	9.8278922795857e-103	NFE2	3.49124173360521e-101
MA1132.1	1147	1845	28.5749875435974	18.45	1.54877981266111	1.24786929321482e-99	JUN::JUNB	4.23141133062844e-98
MA0655.1	1068	1688	26.6068759342302	16.88	1.5762367259615	1.43177407999685e-98	JDP2	4.6439281029463e-97
MA1101.2	1085	1730	27.0303936223219	17.3	1.56245049840011	8.90931502789471e-97	BACH2	2.76931208783727e-95
MA1633.1	1496	2758	37.2695565520678	27.58	1.35132547324394	8.82509338439188e-70	BACH1	2.63340786590254e-68
MA0089.2	1194	2128	29.745889387145	21.28	1.39783314789215	2.04094525402843e-63	NFE2L1	5.85594292117388e-62
MA0501.1	1106	2161	27.553562531141	21.61	1.27503759977515	5.3623272395982e-32	MAF::NFE2	1.48159115582973e-30
MA0150.2	1118	2297	27.8525161933234	22.97	1.21256056566493	2.16436220045098e-21	Nfe2l2	5.76647929120154e-20
MA0101.1	1093	2295	27.2296960637768	22.95	1.18647913131925	7.00269152433093e-17	REL	1.80138202660375e-15
MA0107.1	1200	2549	29.8953662182362	25.49	1.17282723492492	1.05979726120499e-16	RELA	2.63536252286307e-15
MA0591.1	1170	2480	29.1479820627803	24.8	1.17532185737017	1.41076838315847e-16	Bach1::Mafk	3.39494585108457e-15
MA1643.1	1555	3481	38.7394120577977	34.81	1.11288170232111	9.19603274522786e-12	NFIB	2.14382513373125e-10
MA1108.2	754	1616	18.7842551071251	16.16	1.16239202395576	3.78663193700368e-09	MXI1	8.56008310607498e-08
MA0783.1	771	1674	19.2077727952167	16.74	1.14741772970231	4.21061267555494e-08	PKNOX2	9.23857957636466e-07
MA0670.1	736	1593	18.3358246138515	15.93	1.15102477174209	4.9925492814357e-08	NFIA	1.06412621827172e-06
MA0161.2	1048	2354	26.1086198305929	23.54	1.10911724004218	4.39219285351328e-07	NFIC	9.10159963533586e-06
MA0119.1	1101	2522	27.4289985052317	25.22	1.08758915563964	1.80650804285707e-05	NFIC::TLX1	0.000364231081073345
MA1528.1	1159	2670	28.8739412057798	26.7	1.08142101894306	3.28211323084138e-05	NFIX(var.2)	0.000644330650054649
MA1527.1	1112	2558	27.7030393622322	25.58	1.08299606576357	3.88465098432741e-05	NFIC(var.2)	0.000743064008796986
MA1642.1	982	2268	24.4643746885899	22.68	1.07867613265388	0.000273841275719084	NEUROG2(var.2)	0.00510713979216092
MA1109.1	1013	2352	25.2366716492277	23.52	1.07298774018825	0.000513589771121393	NEUROD1	0.00934482851845267
MA0078.1	487	1100	12.1325361235675	11	1.10295782941523	0.00174894958019286	Sox17	0.0310646758767588
