p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	group
0	-3.74956803214774	0.018	0.144	0	chr1-629737-630602	BAP1 WT
0	-3.80566082979713	0.063	0.359	0	chr1-633720-634509	BAP1 WT
0	3.68837445050991	0.221	0.016	0	chr1-5296725-5298329	BAP1 pLOF
0	1.59879945457367	0.441	0.13	0	chr1-221839164-221842001	BAP1 pLOF
0	-2.51285397707258	0.031	0.139	0	chr1-225813031-225813886	BAP1 WT
0	2.42065495048569	0.314	0.048	0	chr1-230400509-230402368	BAP1 pLOF
0	-2.54335800130752	0.04	0.158	0	chr7-12111140-12112313	BAP1 WT
0	-2.47875246357003	0.07	0.295	0	chr7-93574158-93576451	BAP1 WT
0	1.86772242584009	0.328	0.078	0	chr8-24954888-24957014	BAP1 pLOF
0	2.06721663537951	0.307	0.065	0	chr11-35274818-35276756	BAP1 pLOF
0	-2.57265451816776	0.074	0.334	0	chr12-72271330-72274246	BAP1 WT
0	3.32786364561349	0.224	0.02	0	chr13-99382421-99384078	BAP1 pLOF
0	-2.88122466691021	0.052	0.263	0	chr13-102399532-102402629	BAP1 WT
0	-1.41701220210459	0.16	0.323	0	chr14-26596494-26599407	BAP1 WT
0	-1.45894435782055	0.139	0.28	0	chr16-46389254-46390825	BAP1 WT
0	-3.87899912811967	0.011	0.124	0	chr16-66955415-66956010	BAP1 WT
0	2.63396537307832	0.226	0.033	0	chr16-83744090-83745217	BAP1 pLOF
0	-3.80585307394022	0.044	0.281	0	chr17-22521254-22521560	BAP1 WT
0	-1.66856413502782	0.13	0.307	0	chr19-6475344-6477293	BAP1 WT
0	-4.77487618983971	0.006	0.126	0	chr19-22531780-22533328	BAP1 WT
0	3.41399223826417	0.167	0.015	0	chrX-2628467-2631190	BAP1 pLOF
9.88131291682493e-324	-2.61548610367623	0.03	0.129	4.63066979089875e-318	chr1-228457027-228459547	BAP1 WT
9.38724727098368e-323	3.23265444562145	0.182	0.014	4.39913630135381e-317	chrX-73850457-73851878	BAP1 pLOF
8.70049602326435e-321	3.97133753487928	0.126	0.007	4.07730475088635e-315	chr22-48798594-48799629	BAP1 pLOF
8.35691367245715e-315	2.6330206077717	0.217	0.031	3.91629209740992e-309	chr1-167697175-167698570	BAP1 pLOF
1.89318895353503e-312	1.91714684617495	0.289	0.063	8.87203246106169e-307	chr4-8100822-8101711	BAP1 pLOF
3.0479222859458e-312	1.71946453499474	0.37	0.104	1.4283447729405e-306	chr8-10690586-10692580	BAP1 pLOF
1.29038627765487e-308	-1.32318209651185	0.133	0.264	6.04712430911123e-303	chr2-176128480-176130857	BAP1 WT
2.22080189345825e-306	1.79305991396112	0.314	0.08	1.04073217052945e-300	chr3-197494311-197496901	BAP1 pLOF
4.4150607470948e-296	1.2684977769143	0.436	0.162	2.06902550285029e-290	chr5-128216132-128218289	BAP1 pLOF
6.46102773356544e-296	-2.58226027718288	0.028	0.141	3.02782496575304e-290	chr19-12035005-12036392	BAP1 WT
4.61073765411153e-291	-1.52756433735487	0.125	0.25	2.16072537610863e-285	chr7-90210898-90212455	BAP1 WT
